grid,velocity,T,D,X_H2,X_H,X_O,X_O2,X_OH,X_H2O,X_HO2,X_H2O2,X_AR,X_N2
0.0104934082,7.35017187,724.586153,1.4635973,0.238843576,0.00317978216,0.000279328828,0.144006589,0.00155985419,0.0257880549,0.000610998198,0.000171129432,0.585560688,3.97626211e-15
0.0104941406,7.5441487,744.702811,1.42596495,0.236441552,0.00355817147,0.000314437326,0.143397239,0.00160079335,0.0276503296,0.000586652288,0.000169281624,0.586281544,4.29622536e-15
0.0104956055,7.93070191,784.922403,1.35646147,0.231522555,0.0043799176,0.000395848023,0.142095693,0.0016671952,0.0315400682,0.000541130325,0.000163590623,0.587694002,3.46928109e-15
0.0104970703,8.31377416,824.954139,1.29396004,0.226461035,0.00528344132,0.000494408184,0.140683483,0.00172059637,0.0356352725,0.000500201041,0.000155844221,0.589065718,4.16929975e-15
0.0104985352,8.69229994,864.676715,1.23761163,0.221264929,0.00626401526,0.000612801209,0.139153202,0.001768508,0.0399326558,0.000463811884,0.0001465061,0.59039357,3.42679673e-15
0.0104992676,8.87956414,884.386707,1.21151121,0.218619112,0.00678155452,0.000680406761,0.138340311,0.00179311431,0.0421571638,0.000447180783,0.000141401586,0.591039756,3.99886095e-15
0.0105,9.06543737,903.986361,1.18667098,0.215941991,0.00731673789,0.000754088702,0.137492765,0.00181907208,0.0444342703,0.000431571786,0.000136045346,0.591673457,3.9089965e-15
0.0105007324,9.24987964,923.469123,1.16300881,0.213234519,0.00786895275,0.000834112916,0.136609224,0.00184722139,0.0467642002,0.000416910609,0.00013048801,0.592294372,3.54151598e-15
0.0105014648,9.43286577,942.829854,1.14044785,0.210497691,0.0084375778,0.000920709982,0.135688372,0.00187833743,0.0491471801,0.000403124972,0.000124777703,0.592902228,3.64689644e-15
0.0105021973,9.61438353,962.064669,1.1189164,0.207732577,0.00902197699,0.00101407049,0.13472896,0.00191313089,0.051583391,0.000390145744,0.000118959979,0.593496788,4.03614468e-15
0.0105029297,9.79443197,981.170787,1.09834766,0.204940332,0.00962149335,0.00111434106,0.133729828,0.00195224919,0.0540729242,0.000377907817,0.000113077778,0.594077847,4.01942196e-15
0.0105036621,9.97301986,1000.1464,1.07867943,0.202122223,0.0102354429,0.00122162109,0.132689935,0.00199627831,0.0566157382,0.00036635091,0.000107171394,0.59464524,3.62556684e-15
0.0105043945,10.1500355,1018.97763,1.05986737,0.199279625,0.0108631119,0.0013359607,0.131608387,0.00204574491,0.0592116323,0.000355420516,0.000101278441,0.59519884,3.78770477e-15
0.010505127,10.3253412,1037.64797,1.04187273,0.196414025,0.0115037567,0.00145736046,0.130484449,0.00210111672,0.0618602284,0.000345066495,9.54337826e-05,0.595738563,3.66342664e-15
0.0105058594,10.4989097,1056.15201,1.02464844,0.193527035,0.0121566002,0.00158577144,0.129317577,0.00216280293,0.0645609366,0.000335241342,8.96695267e-05,0.596264366,4.59286272e-15
0.0105065918,10.6707138,1074.4844,1.00815106,0.190620408,0.0128208259,0.00172109544,0.128107433,0.00223115626,0.0673129214,0.00032590054,8.40150528e-05,0.596776244,4.30240695e-15
0.0105073242,10.8407266,1092.63988,0.99234044,0.187696045,0.0134955764,0.00186318633,0.126853903,0.0023064755,0.0701150814,0.000317002664,7.84970431e-05,0.597274232,3.44631663e-15
0.0105080566,11.0089204,1110.6132,0.977179502,0.184755994,0.0141799517,0.00201185217,0.125557106,0.00238900828,0.072966034,0.000308509388,7.31395263e-05,0.597758405,3.90045137e-15
0.0105087891,11.175267,1128.39913,0.962633947,0.181802452,0.0148730087,0.0021668579,0.1242174,0.00247895416,0.0758641055,0.000300385415,6.7963938e-05,0.598228872,3.77564829e-15
0.0105102539,11.5024025,1163.39909,0.93525604,0.175861488,0.0162822378,0.00249501785,0.121411345,0.00268147235,0.0817956989,0.000285142601,5.82118602e-05,0.599129386,3.99486818e-15
0.0105117187,11.822007,1197.61416,0.909971664,0.169896216,0.0177137258,0.00284413843,0.118451224,0.00291388709,0.0878827971,0.000270996899,4.93339512e-05,0.599977681,3.70825303e-15
0.0105131836,12.1338543,1231.00742,0.886584848,0.163928562,0.0191586366,0.00321112767,0.115349285,0.0031760195,0.0941017758,0.000257777061,4.14003131e-05,0.600775416,4.12639933e-15
0.0105146484,12.437716,1263.54394,0.86492499,0.157981835,0.0206077369,0.0035925362,0.112121212,0.00346704593,0.100425237,0.000245337751,3.44439369e-05,0.601524615,3.83445051e-15
0.0105161133,12.733367,1295.19139,0.844842645,0.152080225,0.0220515649,0.00398469365,0.10878565,0.00378558109,0.106822671,0.00023356129,2.84626614e-05,0.602227591,3.90314716e-15
0.0105175781,13.020592,1325.9208,0.826206012,0.146248233,0.023480623,0.00438384131,0.105363616,0.00412976941,0.113261263,0.000222356124,2.34219267e-05,0.602886876,3.65368842e-15
0.010519043,13.2991937,1355.70718,0.808898017,0.140510092,0.0248855797,0.0047862548,0.101877839,0.00449738012,0.119706796,0.00021165397,1.92588121e-05,0.603505146,4.21179335e-15
0.0105205078,13.5689989,1384.53013,0.792813935,0.134889196,0.0262574705,0.00518835188,0.0983520548,0.00488590178,0.126124574,0.000201406377,1.58876863e-05,0.604085157,4.16705949e-15
0.0105219727,13.8298653,1412.37425,0.777859454,0.129407573,0.0275878846,0.00558678175,0.0948103264,0.00529263275,0.132480328,0.000191581012,1.32073839e-05,0.604629685,4.29882193e-15
0.0105234375,14.0816858,1439.22943,0.763949119,0.124085429,0.0288691293,0.00597849394,0.091276397,0.00571476403,0.138741045,0.00018215792,1.11093186e-05,0.605141475,3.80548902e-15
0.0105249023,14.3243923,1465.09092,0.751005086,0.118940772,0.0300943652,0.00636078578,0.0877731234,0.00614945232,0.144875693,0.000173126017,9.48554514e-06,0.605623197,3.95228679e-15
0.0105263672,14.5579568,1489.95927,0.738956134,0.113989139,0.0312577067,0.00673132858,0.0843220043,0.00659388166,0.15085581,0.00016448006,8.23565459e-06,0.606077414,3.71979862e-15
0.010527832,14.7823917,1513.84004,0.727736868,0.109243413,0.0323542875,0.00708817363,0.0809428184,0.00704531337,0.156655951,0.000156218255,7.27158945e-06,0.606506553,3.96303968e-15
